option_symbol,symbol,right,strike,expiration,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega,rho,snapshot_ts,snapshot_label,run_id,source,mid,dte,adelta,dist
AAPL250905C00237500,AAPL,C,237.5,2025-09-05,0.92,0.95,0.91,7374,7122,0.214135,0.21760231430331142,0.043211564807899526,-0.13848141037984138,0.09248542193565248,0.008955014076548019,2025-09-01T18:00:03.942115+00:00,S2,20250901180003,tradier_4x,0.935,4,0.21760231430331142,0.01760231430331141
AAPL250905C00240000,AAPL,C,240.0,2025-09-05,0.45,0.47,0.45,13972,11369,0.211291,0.12715364819821912,0.029851918466502314,-0.09685402940018155,0.06170784377993955,0.005182119981419668,2025-09-01T18:00:03.942115+00:00,S2,20250901180003,tradier_4x,0.45999999999999996,4,0.12715364819821912,0.0728463518017809
AAPL250905C00242500,AAPL,C,242.5,2025-09-05,0.21,0.22,0.2,4002,3927,0.209734,0.07110323191541498,0.01876827494231874,-0.06347889850977112,0.04103194222548636,0.0028739770113405134,2025-09-01T18:00:03.942115+00:00,S2,20250901180003,tradier_4x,0.215,4,0.07110323191541498,0.12889676808458503
AAPL250905P00225000,AAPL,P,225.0,2025-09-05,0.83,0.86,0.84,11592,26920,0.259709,-0.1976747995009757,0.032595347744234685,-0.1973282090402553,0.09415602241905965,0.03371322592185149,2025-09-01T18:00:03.942115+00:00,S2,20250901180003,tradier_4x,0.845,4,0.1976747995009757,0.0023252004990243214
AAPL250905P00222500,AAPL,P,222.5,2025-09-05,0.54,0.56,0.57,4740,13794,0.274121,-0.140317455948346,0.024713846286252703,-0.1728021735288846,0.0713696246794702,0.035951347926589584,2025-09-01T18:00:03.942115+00:00,S2,20250901180003,tradier_4x,0.55,4,0.140317455948346,0.05968254405165402
AAPL250905P00227500,AAPL,P,227.5,2025-09-05,1.27,1.31,1.28,6641,2579,0.246767,-0.2748232929609863,0.04179570141244973,-0.21515374781384855,0.10815051594534054,0.0305535480797694,2025-09-01T18:00:03.942115+00:00,S2,20250901180003,tradier_4x,1.29,4,0.2748232929609863,0.07482329296098628
ABNB250905C00134000,ABNB,C,134.0,2025-09-05,0.55,0.62,0.51,1706,192,0.244642,0.22252517959590717,0.0681738609958388,-0.09601471090217067,0.056098942953087504,0.00544484908941943,2025-09-01T18:00:04.850515+00:00,S2,20250901180003,tradier_4x,0.585,4,0.22252517959590717,0.022525179595907163
ABNB250905C00135000,ABNB,C,135.0,2025-09-05,0.36,0.41,0.35,2512,220,0.245573,0.163427312702235,0.056091707116041584,-0.07950284776246723,0.04322042811156097,0.004003132869836831,2025-09-01T18:00:04.850515+00:00,S2,20250901180003,tradier_4x,0.385,4,0.163427312702235,0.036572687297765
ABNB250905C00136000,ABNB,C,136.0,2025-09-05,0.23,0.3,0.26,934,40,0.247609,0.11619711157668436,0.044210989337172574,-0.06306647436511363,0.03463057784978049,0.0028487796910839137,2025-09-01T18:00:04.850515+00:00,S2,20250901180003,tradier_4x,0.265,4,0.11619711157668436,0.08380288842331565
ABNB250905P00127000,ABNB,P,127.0,2025-09-05,0.49,0.54,0.57,231,134,0.250425,-0.2067795690797496,0.06400697069173716,-0.10051674058005985,0.053067903439882914,0.019051579406694778,2025-09-01T18:00:04.850515+00:00,S2,20250901180003,tradier_4x,0.515,4,0.2067795690797496,0.006779569079749581
ABNB250905P00126000,ABNB,P,126.0,2025-09-05,0.32,0.41,0.41,156,59,0.255843,-0.1490557541265439,0.05163851866155478,-0.08456867458242405,0.040260623037989475,0.020341479213229006,2025-09-01T18:00:04.850515+00:00,S2,20250901180003,tradier_4x,0.365,4,0.1490557541265439,0.05094424587345611
ABNB250905P00128000,ABNB,P,128.0,2025-09-05,0.72,0.78,0.76,690,72,0.242107,-0.2762854000968653,0.07560149635924322,-0.11450787918440561,0.06086235376450488,0.01745515729763528,2025-09-01T18:00:04.850515+00:00,S2,20250901180003,tradier_4x,0.75,4,0.2762854000968653,0.0762854000968653
AMD250905C00170000,AMD,C,170.0,2025-09-05,0.94,0.95,0.95,27075,9575,0.367041,0.22461852624984024,0.03296627049581112,-0.1919621127112641,0.06511325270204339,0.006526046768271069,2025-09-01T18:00:05.829029+00:00,S2,20250901180003,tradier_4x,0.945,4,0.22461852624984024,0.024618526249840234
AMD250905C00172500,AMD,C,172.5,2025-09-05,0.58,0.6,0.58,7809,5586,0.373867,0.16591212776081282,0.025934579063641962,-0.16631917164616772,0.054447451004682824,0.004812594856152685,2025-09-01T18:00:05.829029+00:00,S2,20250901180003,tradier_4x,0.59,4,0.16591212776081282,0.03408787223918719
AMD250905C00175000,AMD,C,175.0,2025-09-05,0.37,0.38,0.38,13708,7932,0.386122,0.12096923104888829,0.020026861239362,-0.138828694635311,0.043720657001096404,0.0035035731091046514,2025-09-01T18:00:05.829029+00:00,S2,20250901180003,tradier_4x,0.375,4,0.12096923104888829,0.07903076895111172
AMD250905P00155000,AMD,P,155.0,2025-09-05,0.88,0.91,0.9,8377,4691,0.40072,-0.1761819188560936,0.029980366368676348,-0.18687306388390051,0.06034925993616607,0.023796892988221706,2025-09-01T18:00:05.829029+00:00,S2,20250901180003,tradier_4x,0.895,4,0.1761819188560936,0.023818081143906406
AMD250905P00157500,AMD,P,157.5,2025-09-05,1.4,1.43,1.41,3854,2485,0.389558,-0.2491134850438105,0.038999769363163815,-0.2097001877832952,0.0731260644013567,0.021849326896245462,2025-09-01T18:00:05.829029+00:00,S2,20250901180003,tradier_4x,1.415,4,0.2491134850438105,0.049113485043810495
AMD250905P00152500,AMD,P,152.5,2025-09-05,0.55,0.57,0.57,3374,1620,0.412885,-0.1250588201584387,0.02236051723301487,-0.16330560077335304,0.049419198070887245,0.02502529161851985,2025-09-01T18:00:05.829029+00:00,S2,20250901180003,tradier_4x,0.56,4,0.1250588201584387,0.07494117984156132
AMZN250905C00235000,AMZN,C,235.0,2025-09-05,0.6,0.61,0.6,12130,11614,0.193601,0.18034116086460159,0.03986686418554005,-0.11317345364762298,0.07647426768165978,0.007020631338979439,2025-09-01T18:00:06.633602+00:00,S2,20250901180003,tradier_4x,0.605,4,0.18034116086460159,0.019658839135398426
AMZN250905C00237500,AMZN,C,237.5,2025-09-05,0.27,0.29,0.26,14748,3842,0.194781,0.10159797376715628,0.025644828361183012,-0.07627854907307,0.05420276227555499,0.0038986149932623377,2025-09-01T18:00:06.633602+00:00,S2,20250901180003,tradier_4x,0.28,4,0.10159797376715628,0.09840202623284373
AMZN250905C00232500,AMZN,C,232.5,2025-09-05,1.21,1.24,1.2,22922,5818,0.196116,0.30139210830467894,0.054722351408494324,-0.15467878994763465,0.10539730874188522,0.01193770752898636,2025-09-01T18:00:06.633602+00:00,S2,20250901180003,tradier_4x,1.225,4,0.30139210830467894,0.10139210830467893
AMZN250905P00222500,AMZN,P,222.5,2025-09-05,0.7,0.73,0.8,2058,2714,0.236529,-0.1861485912338077,0.03641676223980309,-0.1782498824364702,0.09246755555906284,0.03359887695998872,2025-09-01T18:00:06.633602+00:00,S2,20250901180003,tradier_4x,0.715,4,0.1861485912338077,0.013851408766192314
AMZN250905P00225000,AMZN,P,225.0,2025-09-05,1.18,1.21,1.32,4980,3827,0.226465,-0.2717740085313113,0.048205358195805355,-0.19588007008443523,0.10645648844564992,0.030004338926491025,2025-09-01T18:00:06.633602+00:00,S2,20250901180003,tradier_4x,1.1949999999999998,4,0.2717740085313113,0.07177400853131127
AMZN250905P00220000,AMZN,P,220.0,2025-09-05,0.41,0.44,0.42,3482,3244,0.248048,-0.1269487477770737,0.0265387160414699,-0.1551100029061235,0.06998919640755329,0.03596735113400172,2025-09-01T18:00:06.633602+00:00,S2,20250901180003,tradier_4x,0.425,4,0.1269487477770737,0.0730512522229263
AVGO250905C00322500,AVGO,C,322.5,2025-09-05,2.69,2.77,2.7,392,294,0.640285,0.1957918505380011,0.009961620741877574,-0.5145672655323832,0.11013382173268144,0.009900975750725847,2025-09-01T18:00:07.526696+00:00,S2,20250901180003,tradier_4x,2.73,4,0.1957918505380011,0.004208149461998906
AVGO250905C00320000,AVGO,C,320.0,2025-09-05,3.1,3.2,3.16,2718,3562,0.64243,0.219991735995471,0.010738268254887244,-0.5530847578606963,0.11989381802914313,0.011139413116789322,2025-09-01T18:00:07.526696+00:00,S2,20250901180003,tradier_4x,3.1500000000000004,4,0.219991735995471,0.019991735995470994
AVGO250905C00325000,AVGO,C,325.0,2025-09-05,2.3,2.38,2.33,1820,1529,0.641217,0.17342585681650036,0.009184906106616828,-0.4760904248681418,0.1001981804775829,0.00875762604019202,2025-09-01T18:00:07.526696+00:00,S2,20250901180003,tradier_4x,2.34,4,0.17342585681650036,0.026574143183499654
AVGO250905P00277500,AVGO,P,277.5,2025-09-05,3.3,3.4,3.4,386,191,0.661118,-0.2125241558781176,0.011100554990876543,-0.6183343351195641,0.1273516077397378,0.03961255573471781,2025-09-01T18:00:07.526696+00:00,S2,20250901180003,tradier_4x,3.3499999999999996,4,0.2125241558781176,0.012524155878117588
AVGO250905P00275000,AVGO,P,275.0,2025-09-05,2.8,2.88,2.9,1627,1281,0.663499,-0.1859581628886127,0.0102429196888387,-0.5780074059688125,0.11812469788897603,0.04081184074046507,2025-09-01T18:00:07.526696+00:00,S2,20250901180003,tradier_4x,2.84,4,0.1859581628886127,0.014041837111387317
AVGO250905P00272500,AVGO,P,272.5,2025-09-05,2.33,2.41,2.47,464,87,0.665422,-0.1614680188477542,0.009366143939420894,-0.5359985699070668,0.10849783387675832,0.04188195176438983,2025-09-01T18:00:07.526696+00:00,S2,20250901180003,tradier_4x,2.37,4,0.1614680188477542,0.03853198115224582
BA250905C00242500,BA,C,242.5,2025-09-05,0.59,0.78,0.66,1231,481,0.230785,0.1605663326226498,0.03237170255224572,-0.13089814654047371,0.0774445192776812,0.006966515548897818,2025-09-01T18:00:08.310905+00:00,S2,20250901180003,tradier_4x,0.685,4,0.1605663326226498,0.03943366737735021
BA250905C00240000,BA,C,240.0,2025-09-05,1.1,1.16,1.07,2501,2301,0.230955,0.2528266560227171,0.042668029106372816,-0.17307178113778873,0.10028090960428714,0.010981703698511789,2025-09-01T18:00:08.310905+00:00,S2,20250901180003,tradier_4x,1.13,4,0.2528266560227171,0.05282665602271708
BA250905C00245000,BA,C,245.0,2025-09-05,0.34,0.37,0.37,965,1432,0.234508,0.09453545724849312,0.022196156039269416,-0.08984877022974119,0.054601931438844266,0.004095056413711928,2025-09-01T18:00:08.310905+00:00,S2,20250901180003,tradier_4x,0.355,4,0.09453545724849312,0.10546454275150689
BA250905P00227500,BA,P,227.5,2025-09-05,0.76,0.84,0.8,288,298,0.253075,-0.1712081412600008,0.03210830113112934,-0.16003223326071955,0.08055336773033353,0.03562811042237349,2025-09-01T18:00:08.310905+00:00,S2,20250901180003,tradier_4x,0.8,4,0.1712081412600008,0.028791858739999204
BA250905P00230000,BA,P,230.0,2025-09-05,1.22,1.3,1.23,1595,1216,0.241838,-0.2606759536024224,0.041710237151460924,-0.19587727969832675,0.10960386780376542,0.031935485326706134,2025-09-01T18:00:08.310905+00:00,S2,20250901180003,tradier_4x,1.26,4,0.2606759536024224,0.060675953602422394
BA250905P00225000,BA,P,225.0,2025-09-05,0.49,0.54,0.49,2907,5496,0.266578,-0.1047473714294196,0.022639154436121082,-0.120334018724402,0.057453736671910456,0.038249079017136645,2025-09-01T18:00:08.310905+00:00,S2,20250901180003,tradier_4x,0.515,4,0.1047473714294196,0.09525262857058041
BAC250905C00052000,BAC,C,52.0,2025-09-05,0.07,0.09,0.08,11884,2958,0.169853,0.1328394550835555,0.17343884616017521,-0.016062784199623006,0.014737657854038183,0.0011114186374074223,2025-09-01T18:00:09.086868+00:00,S2,20250901180003,tradier_4x,0.08,4,0.1328394550835555,0.06716054491644452
BAC250905C00053000,BAC,C,53.0,2025-09-05,0.02,0.03,0.03,3384,285,0.194936,0.02878729488724536,0.051343048443179246,-0.005042184184226084,0.0043289183205320785,0.00024864646848441423,2025-09-01T18:00:09.086868+00:00,S2,20250901180003,tradier_4x,0.025,4,0.02878729488724536,0.17121270511275466
BAC250905C00051000,BAC,C,51.0,2025-09-05,0.34,0.35,0.34,9411,3174,0.180667,0.39236446346785886,0.3070403580866954,-0.02913561305374318,0.026546357410411024,0.0029968384613037586,2025-09-01T18:00:09.086868+00:00,S2,20250901180003,tradier_4x,0.345,4,0.39236446346785886,0.19236446346785885
BAC250905P00049500,BAC,P,49.5,2025-09-05,0.19,0.21,0.2,1269,5032,0.218169,-0.1978829282598044,0.22257351656486252,-0.021842668103736192,0.019512023267825737,0.0040532797820816225,2025-09-01T18:00:09.086868+00:00,S2,20250901180003,tradier_4x,0.2,4,0.1978829282598044,0.0021170717401955974
BAC250905P00049000,BAC,P,49.0,2025-09-05,0.12,0.13,0.12,1656,7131,0.233393,-0.1122865002027394,0.17221047484593985,-0.014524456397670015,0.013421118132848303,0.0033545461532292343,2025-09-01T18:00:09.086868+00:00,S2,20250901180003,tradier_4x,0.125,4,0.1122865002027394,0.0877134997972606
BAC250905P00050000,BAC,P,50.0,2025-09-05,0.31,0.32,0.32,1540,2925,0.207747,-0.3092203171199164,0.2745892432680158,-0.027661033097725087,0.024909120666024354,0.00422360519716515,2025-09-01T18:00:09.086868+00:00,S2,20250901180003,tradier_4x,0.315,4,0.3092203171199164,0.10922031711991637
CAT250905C00430000,CAT,C,430.0,2025-09-05,0.86,1.22,1.1,163,145,0.198056,0.18186166017516764,0.021796215710292072,-0.20411165671048026,0.1382382480786032,0.012855672693328064,2025-09-01T18:00:09.926352+00:00,S2,20250901180003,tradier_4x,1.04,4,0.18186166017516764,0.018138339824832372
